ala dati,CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"indicates that the situation was different than one thought, in fact","geeft aan dat de situatie anders was dan men vermoedde, in feite","Mi ben krutu nanga a baas tak' a no stort gi mi, ala dati na a bangi meki a fowtu.","I complained to the boss that he had not deposited my money,but the whole time it seems to have been a bank error.","Ik heb ruzie gemaakt met de baas dat hij niet voor mij gestort heeft, maar in feite had de bank een fout gemaakt."
ala fa,CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"even though, in spite of the fact, no matter how",ondanks,,,
aladi,CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"although, even though",ondanks,"Aladi mi bari a pikin, toku a lon go na strati.","Even though I warned the child, still she ran into the street.","Ondanks ik het kind gewaarschuwd heb, is het toch de straat opgegaan."
alwasi,CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"no matter what, irregardless of","wat dan ook, wat er ook gebeurt",,,
awansi,CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"although, even if","al, ook in geval, ook al",,,
awinsi,CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"although, even if","al, ook in geval, ook al","Un wakti mi aiti yuru. Awinsi mi no doro ete, un mu tan wakti mi.","Wait for me at eight o’clock. Even if I don’t arrive on time, you must keep waiting.","Wacht tegen acht uur op me. Ook in geval ik er nog niet ben, moeten jullie op me blijven wachten."
awinsi fa,CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"even though, in spite of the fact, no matter how",ondanks,"Awinsi fa mi bari a meisje, toku a teki waka nanga a boi.","In spite of the fact that I warned that girl, she is still going with that guy.","Ondanks dat ik dat meisje gewaarschuwd heb, gaat ze toch met die jongen om."
awinsi san,CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"no matter what, irregardless of","wat dan ook, wat er ook gebeurt","Mi no mus si a man na ai. Efu mi si en, mi o kiri en, awinsi san.","The man better stay out of my sight. If I see him, I will kill him, no matter what.","Ik moet de man niet onder ogen zien. Als ik hem zien vermoord ik hem, wat dan ook."
baka di,CS_time,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,after,nadat,"Baka di mi kmopo fu wroko, alen kon.","After I left work, it started to rain.","Nadat ik van het werk was gekomen, begon het te regenen."
bifo,CS_time,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,before,voorheen,Fu sanede mi mus pai edemoni now. Noiti mi no pai en bifo.,Why do I have to pay tax now. I never had to pay it before.,Waarom moet ik nu belasting betalen. Voorheen heb ik het nooit gedaan.
bifosi,CS_time,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,,,,,
bika,CS_expl,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,because,"omdat, opdat, want, daar",Mi bai wan paki blon tide bika mi e go meki roti.,I bought a bag of flour today because I’m going to make roti.,Ik heb vandaag een pakje blom gekocht omdat ik roti ga maken.
boiti,CS_odd,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,except (for),behalve,"Ala presi den man prati koranti, boiti Flora.",The men delivered newspapers everywhere except Flora.,"Overal heeft men kranten uitgedeeld, behalve op Flora."
di,CS_time,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,when,toen,"Di mi ben kon suku yu esde, yu no ben de.","When I came looking for you yesterday, you weren’t there.","Toen ik je gisteren kwam opzoeken, was je er niet."
di,CS_expl,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,because,omdat,,,
efu noso,CS_if,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,or if,of,"Den dei disi yu no man sabi efu alen o kon, efu noso wi o abi wan moi dei.",These days you cannot tell if it will rain or if we will have a nice day.,Deze dagen kan je niet voorspellen als het zal regenen of als we een mooie dag zullen hebben.
fa,CS_time,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"as soon as, right after","zodra, direkt, nadat, nauwelijks",Fa un doro un bigin wroko.,"As soon as we arrived, we began to work.","Direkt nadat we aankwamen, gingen we aan de slag."
fa,CS_expl,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"since, because , that","aangezien, omdat","Fa tamara na wan feeste dei, den man kenki a skoro yuru.","Since tomorrow is a holiday, they changed the school hours.","Aangezien morgen een feestdag is, hebben ze de schooltijd gewijzigd."
fa a no fa,CS_expl,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"even though, in spite of the fact, no matter how",ondanks,"Fa a no fa mi bari a meisje, toku a teki waka nanga a boi.","In spite of the fact that I warned that girl, she is still going with that guy.","Ondanks dat ik dat meisje gewaarschuwd heb, gaat ze toch met die jongen om."
fosi,CS_time,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,before,voordat,"Fosi mi go drape, mi mus du wan sani.",Before I go there I have to do something.,"Voordat ik daarnaar toe ga, moet ik iets doen."
fu di,CS_expl,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,because,"omdat, doordat","Fu di mi mu wasi den krosi fu mi, meki mi no man gwe.","Because I’ve got to wash my clothes, I can’t go.","Omdat ik mijn kleren moet wassen, kan ik niet weg."
na di,CS_expl,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,because,omdat,Na di den dagu bari so mi no kon ini a dyari.,"Because the dogs barked so, I didn’t come in the yard.",Omdat de honden zo blaften ben ik niet op het erf gekomen.
neleki,CS_time,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,just like,net als,Den boi disi e wroko tranga neleki fa den ppa ben wroko tranga.,These boys work hard just like their father did.,"Deze jongens werken hard, net zoals hun vader dat deed."
nomo,CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"however, but, then","echter, maar, wel","Nomo di a bigin taki, a trawan ati bron.","But when he began to speak, the other one got mad.","Toen hij echter begon te praten, werd de andere boos."
noso,CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"otherwise, or","anders, of, indien niet",Yu no mus go drape noso yu o kisi mankeri.,You must not go there or you’ll get hurt.,Je moet daar niet gaan anders zal je een ongeluk krijgen.
prefu,CS_odd,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,instead of,in plaats van,"Prefu yu sidon, betre yu bigin wroko.","Instead of sitting, better you begin working.","In plaats van te zitten, begin liever met werken."
sensi,CS_time,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,since,"sinds, sedert, vanaf",Sensi esde mi abi ber'ati.,I’ve had a stomachache since yesterday.,Sedert gisteren heb ik buikpijn.
solanga,CS_if,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,as long as,zolang,"Solanga a no pai mi, mi no o gi en san a mus kisi.","As long as he does not pay me, I won’t give him what he deserves (i.e. Until he pays me...).","Zolang hij me niet betaald heeft, geef ik hem niet wat hij moet krijgen."
te,CS_time,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,when,"als, wanneer","Tamara te mi kmopo fu wroko, mi o krin a prasi.","Tomorrow when I come from work, I’ll clean the yard.","Wanneer ik morgen van het werk kom, zal ik het erf schoonmaken."
wanti,CS_expl,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,because,want,,,
winsi,CS_expl,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,"although, even if","al, ook in geval",,,
want,CS_expl,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,,,,,
sodrai,CS_time,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,,,,,
fudatede,CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,,,,,
wans',CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,,,,,
wins',CS_cont,subordinating conjunction,onderschikkend voegwoord,подчинительный союз,,,,,
