ai,NN,noun,zelfstandig naamwoord,существительное,eye,oog,A smoko meki mi ai lon watra.,The smoke made my eyes water.,De rook liet mijn ogen tranen.
aksi,NN,noun,zelfstandig naamwoord,существительное,axe,bijl,A man kapu a bon nanga wan aksi.,The man chopped down the tree with an axe.,De man hakte de boom met een bijl om.
ba,NN,noun,zelfstandig naamwoord,существительное,"mister, brother (Brer)",meneer,Opa ferteri unu wan tori fa Anansi ben rei Ba Tigri.,Grandpa told us a story about how Anansi rode on Brer Tiger.,Opa vertelde ons een verhaal over hoe Anansi Meneer Tijger bereed.
baka,NN,noun,zelfstandig naamwoord,существительное,back,rug,Mi baka e hati mi!,My back is killing me!,Mijn rug doet me pijn!
bo,NN,noun,zelfstandig naamwoord,существительное,bow,boog,,,
boi,NN,noun,zelfstandig naamwoord,существительное,son,zoon,,,
boiti,NN,noun,zelfstandig naamwoord,существительное,"outlying area, rural area, country","buitenplaats, buitenwijk, buiten (de stad)","Fa mi e tan na boiti, mi no man kon ala yuru na foto.","Because I live in an outlying area, I can’t come to town all the time.","Omdat ik op buiten woon, kan ik niet iedere keer naar de stad komen."
bribi,NN,noun,zelfstandig naamwoord,существительное,"belief, faith",geloof,A bribi fu en swaki.,His faith is weak.,Zijn geloof is zwak.
dan,NN,noun,zelfstandig naamwoord,существительное,"dike, levee, seawall","dam, dijk",,,
denki,NN,noun,zelfstandig naamwoord,существительное,"thought, idea","idee, gedachte, verbeelding",A e waka nanga a denki tak' a o tron datra.,"He walks around with the illusion that he will become a doctor,",Hij loopt met de verbeelding dat hij docter wordt.
doro,NN,noun,zelfstandig naamwoord,существительное,door,deur,Tapu a doro.,Close the door.,Maak de deur dicht.
ferstan,NN,noun,zelfstandig naamwoord,существительное,"understanding, the ability to understand things",verstand,Sowan pikin boi no abi ferstan.,Such a young boy doesn’t have understanding.,Zo'n kleine jongen heeft geen verstand.
fesi,NN,noun,zelfstandig naamwoord,существительное,face,gezicht,,,
frede,NN,noun,zelfstandig naamwoord,существительное,fear,"vrees, angst",A frede fu a pikin disi kon moro mofo now.,That child’s fear has gotten worse.,De angst van dit kind is nu erger geworden.
howpu,NN,noun,zelfstandig naamwoord,существительное,hope,hoop,"Wi e howpu taki yu sa man yepi wi, bika a howpu fu un de na tapu yu wawan.","We hope that you can help us, because you are our only hope.","Wij hopen dat u ons kunt helpen, want onze hoop is alleen op u gevestigd."
ipi,NN,noun,zelfstandig naamwoord,существительное,"pile, heap, stack, group","hoop, stapel",Gi mi tu ipi tomati.,Give me two stacks of tomatoes.,Geef me twee hoopjes tomaten.
kan,NN,noun,zelfstandig naamwoord,существительное,"cup (plastic, aluminum)",kan (van plastic of aluminium),,,
krei,NN,noun,zelfstandig naamwoord,существительное,"crying, weeping",gehuil,Mi no man nanga a krei fu a pikin disi.,I can’t stand this child’s crying.,Ik kan niet met het gehuil van dit kind.
leki,NN,noun,zelfstandig naamwoord,существительное,leak,lek,A leki fu a daki kon moro bigi.,The leak in the roof has gotten bigger.,Het lek van het dak is groter geworden.
lobi,NN,noun,zelfstandig naamwoord,существительное,love,liefde,,,
ma,NN,noun,zelfstandig naamwoord,существительное,mother,moeder,,,
mamanten,NN,noun,zelfstandig naamwoord,существительное,morning,morgen,,,
man,NN,noun,zelfstandig naamwoord,существительное,man,man,,,
memre,NN,noun,zelfstandig naamwoord,существительное,member,lid,Mi no man nyan granbun bika mi a no wan memre fu a kerki disi.,I cannot take part in communion because I am not a member of this church.,Ik kan niet deelnemen aan het avondmaal omdat ik geen lid ben van deze kerk.
mun,NN,noun,zelfstandig naamwoord,существительное,month,maand,Te mun tapu yu o kisi a moni.,At the end of the month you’ll get the money.,Eind van de maand krijg je dat geld.
musu,NN,noun,zelfstandig naamwoord,существительное,"bonnet, knitted cap",muts,,,
neti,NN,noun,zelfstandig naamwoord,существительное,night,nacht,A e teki neti meki dei.,Saying: He works night and day.,Gezegde: Hij werkt dag en nacht (lett: hij maakt van de nacht een dag.)
noso,NN,noun,zelfstandig naamwoord,существительное,nose,neus,Mi noso e lon.,My nose is running.,Ik heb een loopneus (lett: mijn neus loopt).
pe,NN,noun,zelfstandig naamwoord,существительное,place,"plaats, plek",Mi no go no wan pe.,I haven’t been to any place.,Ik ben naar geen enkele plaats geweest.
prakseri,NN,noun,zelfstandig naamwoord,существительное,thought,gedachte,Mi ben kisi a prakseri kba tak' den bo seni un gwe.,It had already occurred to me (lit: I had gotten the thought already) that they would send us away.,Het was al in me opgekomen (lett: ik had de gedachte al) dat ze ons zouden wegzenden.
pramisi,NN,noun,zelfstandig naamwoord,существительное,promise,belofte,A gi mi a pramisi tak' a o kon fruku na oso.,He gave me the promise that he would come home early.,Hij heeft me de belofte gegeven dat hij vroeg thuis zou komen.
sa,NN,noun,zelfstandig naamwoord,существительное,saw (cutting tool),zaag,,,
sabi,NN,noun,zelfstandig naamwoord,существительное,"knowledge, science, wisdom","kennis, wetenschap, wijsheid",,,
sari,NN,noun,zelfstandig naamwoord,существительное,"grief, sorrow, sadness","verdriet, leed","Baka di domri taki nanga a famiri, den fergiti ala sari èn den tapu nanga krei.","After the pastor spoke to the family, they forgot their grief and dried their tears.","Nadat de dominee tot de familie gesproken had, vergaten ze alleverdriet en hielden ze op met huilen."
sensi,NN,noun,zelfstandig naamwoord,существительное,"cent, penny",cent,Fosten yu ben kan bai dri pisi ksababrede fu feifi sensi.,You used to be able to buy three pieces of cassava bread for five cents.,Vroeger kon je drie kassavebroden voor vijf centen kopen.
smeri,NN,noun,zelfstandig naamwoord,существительное,"smell, stench, odor, aroma","geur, stank",A switi smeri fu a nyanyan furu a heri oso.,The delicious aroma of the food filled the whole house.,De lekkere geur van het eten vulde het hele huis.
sortu,NN,noun,zelfstandig naamwoord,существительное,"kind, sort, species",soort,Omeni sortu froktubon de tapu a dyari?,How many kinds of fruit trees are in the yard?,Hoeveel soorten vruchtbomen zijn op het erf?
taki,NN,noun,zelfstandig naamwoord,существительное,the manner in which something is said (either the content or the pronunciation),"hetgeen gezegd wordt, of aan de uitspraak",Na a taki fu en yu kan tesi tak' a man disi wani meki kenki kon.,You can tell by the way he speaks that this man wants to make changes.,Je kan aan zijn manier van spreken aanvoelen dat hij veranderingen voorstaat.
tapu,NN,noun,zelfstandig naamwoord,существительное,amulet or fetish used to protect one’s person or property,"amulet, magisch medicijn dat moet beschermen tegen kwaad",Mi omu abi wan tapu na en skin taki no wan sma kan sutu en nanga wan gon.,My uncle has a fetish that he wears so that no one can shoot him with a gun.,"Mijn oom heeft een magisch amulet die hem beschermt, zodat niemand hem kan neerschieten."
te,NN,noun,zelfstandig naamwoord,существительное,tea,thee,,,
wani,NN,noun,zelfstandig naamwoord,существительное,will,wil,A pikin fu yu abi wan tranga wani!,Your child has a strong will!,Jouw kind heeft een sterke wil!
wiki,NN,noun,zelfstandig naamwoord,существительное,week,week,Wan wiki abi seibi dei.,A week has seven days.,Een week heeft zeven dagen.
winsi,NN,noun,zelfstandig naamwoord,существительное,wish,wens,,,
yari,NN,noun,zelfstandig naamwoord,существительное,year,jaar,A yari tapu.,The year is passed.,Het jaar is om.
yongu,NN,noun,zelfstandig naamwoord,существительное,"young man, boy",jongen,,,
yuru,NN,noun,zelfstandig naamwoord,существительное,rent money,huishuur,,,
